feature_id,edition,area,feature,role,user_story,expected_behavior,entry_points,code_evidence,test_evidence,feature_status,test_status,error_status,fix_status,retest_status,priority,notes,last_reviewed
SETTINGS-003,shared,Settings,Email templates,Admin,As an admin I want to edit notification templates safely.,"Template settings expose supported template types, preserve required variables and avoid breaking transactional emails.",pages/admin/settings.php templates tab,includes/modules/settings/settings-templates.php; includes/modules/settings/settings-actions.php; includes/mailer.php,tests/settings-email-template-contract-test.php; tests/settings-render-contract-test.php; tests/email-voice-contract-test.php,retested_pass,retested_pass,,"Added template validation for allowed keys/languages, required subject/body, unknown placeholders and required variables.",Retested by settings email template contract and existing settings module contracts.,P2,UI now marks required variables before save; invalid template saves show a clear error instead of silently passing.,2026-06-21
SETTINGS-004,shared,Settings,Workflow settings,Admin,"As an admin I want to configure statuses, priorities and ticket types without leaving settings context.",Workflow settings link/render workflow CRUD modules consistently and avoid parallel competing menus.,pages/admin/settings.php workflow tab; workflow admin pages,includes/modules/settings/settings-workflow.php; pages/admin/statuses.php; pages/admin/priorities.php; pages/admin/ticket-types.php,tests/workflow-crud-contract-test.php; tests/admin-ui-contract-test.php,retested_pass,retested_pass,"Observed visual failure: admin settings could show two parallel navigation bars, making hierarchy unclear.",Fixed: settings page contract keeps global admin-page-nav off the settings surface and preserves only local settings tabs there.,"Retested: admin-ui contract, app-shell visual contract, and local smoke passed.",P1,Keep broader admin visual audit under VISUAL-001.,2026-06-21
SETTINGS-005,shared,Settings,Security and 2FA,Admin/User,As an admin I want security controls and as a user I want 2FA/profile state enforced clearly.,"Security settings manage role requirements, sessions/security log where applicable and enforce profile setup when role requires 2FA.",pages/admin/settings.php security tab; pages/profile.php,includes/modules/settings/settings-security.php; includes/totp.php; includes/auth.php,tests/security-debt-contract-test.php; tests/e2e/02-admin-security.spec.js,retested_pass,retested_pass,"Admin security E2E still expected the old admin-page-nav on Settings, which contradicted the single-navigation rule and produced a false failure.","Updated admin/security E2E to assert Settings has admin-tabs and no parallel admin-page-nav, while other admin sections keep the compact admin-page-nav.","Retested by security debt contract, admin UI contract, and admin/security Playwright suite.",P0,Security-sensitive; should remain tested after UI refactors.,2026-06-22
SETTINGS-006,self-hosted + local compatibility,Settings,Updates and logs,Admin,"As a self-hosted admin I want update checks, logs and backups; as SaaS user I should not manage hosted deployment.",Self-hosted exposes update/backup/log operations; SaaS hides ZIP update/export as normal workspace agenda.,settings system/logs tabs; api update check,includes/modules/settings/settings-updates.php; includes/update-functions.php; includes/update-check-functions.php,tests/settings-update-contract-test.php; tests/e2e/03-update-report.spec.js,retested_pass,retested_pass,,,"Retested by settings update contract and self-hosted update/report Playwright suite.",P1,Edition split must keep SaaS deploy centralized.,2026-06-22
WORKFLOW-001,shared,Workflow admin,Statuses CRUD and ordering,Admin,As an admin I want custom statuses mapped into simple user-facing groups.,"Status CRUD/reorder works, maps statuses to New/In progress/Waiting/Done groups and preserves Complete semantics.",pages/admin/statuses.php; api reorder-statuses,pages/admin/statuses.php; pages/admin/statuses-content.php; includes/api/reorder-handler.php; includes/modules/tickets/ticket-status-groups.php,tests/workflow-crud-contract-test.php; tests/shared-workflow-contract-test.php,retested_pass,retested_pass,,,"Retested by workflow CRUD contract and shared workflow contract.",P0,Complete must never become cancelled unless explicitly cancelled.,2026-06-22
WORKFLOW-002,shared,Workflow admin,Priorities CRUD and ordering,Admin,As an admin I want custom priorities ordered predictably.,Priority CRUD and reorder APIs save valid values and list them consistently in ticket creation/detail/list filters.,pages/admin/priorities.php; api reorder-priorities,pages/admin/priorities.php; pages/admin/priorities-content.php; includes/api/reorder-handler.php,tests/workflow-crud-contract-test.php,retested_pass,retested_pass,,,"Retested by workflow CRUD contract.",P2,Check visual consistency in admin tabs.,2026-06-22
WORKFLOW-003,shared,Workflow admin,Ticket types CRUD and ordering,Admin,As an admin I want ticket types to classify requests.,Ticket type CRUD/reorder saves valid active types and exposes them in new/edit/detail/report contexts.,pages/admin/ticket-types.php; api reorder-ticket-types,pages/admin/ticket-types.php; pages/admin/ticket-types-content.php; includes/api/reorder-handler.php,tests/workflow-crud-contract-test.php,retested_pass,retested_pass,,,"Retested by workflow CRUD contract.",P2,Can be simplified if too much admin surface for small customers.,2026-06-22
RECURRING-001,shared,Automation,Recurring tasks,Admin,As an admin I want recurring tickets/tasks generated reliably.,Recurring task admin defines schedules and background runner creates due work without duplicates.,pages/admin/recurring-tasks.php; bin/process-recurring-tasks.php,pages/admin/recurring-tasks.php; includes/recurring-task-functions.php; bin/process-recurring-tasks.php,tests/admin-ui-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,Missing runtime proof for recurring duplicate prevention.,Added a real E2E runtime check for the CLI recurring runner and duplicate guard.,Retested by Playwright E2E running bin/process-recurring-tasks.php twice and verifying tickets plus run history.,P2,Browser test confirms a due task runs once until next_run_date is due again.,2026-06-22
STORAGE-001,saas,Storage,R2 attachment storage,Operator/User,As SaaS operator I want new attachments in R2 with safe tenant prefixes and verified download/preview/delete.,"R2 storage writes tenant-prefixed keys, returns controlled previews/downloads and supports backup evidence outside the app server.",upload/download/preview/delete attachments,includes/storage-functions.php; bin/test-r2-storage.php; docs/R2_STORAGE.md,tests/r2-storage-contract-test.php; bin/test-r2-storage.php,retested_pass,retested_pass,"Earlier local env used local storage, but production is now configured with STORAGE_DRIVER=r2 and bucket foxdesk-production.","Verified on production: bin/test-r2-storage.php wrote, read and deleted tenant-prefixed health/upload objects in Cloudflare R2.","Retested by production R2 smoke: driver=r2, bucket=foxdesk-production, tenant_prefixed=true, deleted=true, stored_object_deleted=true.",P0,Keep this smoke in the production deployment gate after storage-related changes.,2026-06-22
STORAGE-002,self-hosted,Storage,Local attachment storage,Admin/User,As self-hosted user I want existing local attachments to keep working and migrate safely later.,"Local storage remains backward compatible, enforces access checks and can be exported/synced to SaaS storage.",attachment.php; image.php; migration export/sync,includes/upload-functions.php; includes/storage-functions.php; includes/migration-functions.php,tests/security-boundary-contract-test.php; tests/migration-bridge-contract-test.php,retested_pass,retested_pass,,,"Retested by SaaS storage/migration contracts and self-hosted core Playwright upload/download attachment workflow.",P1,Edition overlay; avoid forcing R2 into public PHP version.,2026-06-22
HEALTH-001,shared,Operations,Health endpoint,Operator,As an operator I want a lightweight health endpoint for deployment checks.,Health endpoint returns a safe status without leaking secrets and works on public/app/platform hosts.,index.php?page=health,pages/health.php if present; includes/health-functions.php; index.php routing,tests/health-endpoint-contract-test.php; tests/smoke/production-smoke.js,retested_pass,retested_pass,,,"Retested by health endpoint contract.",P0,No auth required but output must be minimal.,2026-06-22
CRON-001,shared + edition overlay,Operations,Cron and background jobs,Operator/Admin,As an operator I want background tasks to run reliably in both hosted and self-hosted modes.,"Cron endpoint/CLI handles email ingest, recurring tasks, maintenance and usage/reporting; self-hosted pseudo-cron covers no-cron hosting.",pages/cron.php; bin/run-maintenance.php; pseudo-cron,pages/cron.php; includes/pseudo-cron.php; includes/cli-functions.php,tests/pseudo-cron-email-test.php; tests/health-endpoint-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,Missing runtime proof that CLI maintenance and pseudo-cron endpoint process due work without duplicate reruns.,Added E2E runtime coverage for bin/run-maintenance.php JSON output and the protected cron endpoint interval guard.,Retested by Playwright E2E covering disabled IMAP state recurring generation token rejection lock release and no duplicate second run.,P1,External server cron scheduling still needs production monitor evidence after deploy.,2026-06-22
PUSH-001,shared,Notifications,Web push,User,As a user I want optional browser push notifications for important updates.,"Push endpoints expose VAPID key, subscribe/unsubscribe and notification delivery within permission and tenant scope.",api push-* endpoints,includes/api/push-handler.php; includes/web-push.php,tests/app-contract-api-test.php; tests/web-push-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,"Web push subscription state lacked a focused tenant/runtime regression test, and unsubscribe returned a PDOStatement from a bool-typed helper.","Added tenant_id to push_subscriptions schema/runtime helper, tenant-scoped CRUD/API notification reads, a focused web-push contract, and fixed unsubscribe to return a real boolean.","Retested by web-push contract and targeted Playwright E2E covering VAPID key, subscribe, tenant-bound DB row, unread notification payload and unsubscribe cleanup.",P2,Browser push is optional; actual browser permission UX still depends on user/device support.,2026-06-22
PROFILE-001,shared,Profile,User profile and preferences,User,"As a user I want to manage my profile, password/preferences and 2FA state.","Profile page lets user update profile, password, language/preferences and 2FA according to policy.",pages/profile.php; pages/user-profile.php,pages/profile.php; pages/user-profile.php; includes/auth.php; includes/totp.php,tests/profile-password-setup-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,"Email-only signup users receive a hidden random password, so requiring current password for every password path could strand them in profile settings.","Added and translated a profile password setup link that sends the standard reset email, hashes the token, logs security events, and keeps normal password change and 2FA flows intact.","Retested by profile password setup contract and targeted Playwright E2E covering profile details, notification preferences, setup-link token generation and 2FA setup start.",P1,Profile still uses password verification for changing email and disabling/enabling sensitive 2FA recovery actions.,2026-06-22
SHARE-001,shared,Sharing,Ticket public share,Agent/Client,As an authorized user I want to share ticket information safely when enabled.,"Ticket share links use scoped tokens, respect permissions and do not expose unrelated tenant/customer data.",pages/ticket-share.php,pages/ticket-share.php; includes/ticket-share-functions.php; includes/modules/tickets/ticket-share-state.php,tests/ticket-share-state-contract-test.php; tests/security-boundary-contract-test.php,retested_pass,retested_pass,,,"Retested by ticket share state contract and security boundary contract.",P1,Retest expiry/revocation if implemented.,2026-06-22
INSTALL-001,self-hosted,Self-hosted,Installer,Admin,As a self-hosted admin I want a safe guided install on PHP hosting.,Installer creates config/schema/admin user and force reinstall requires token guard.,install.php,install.php; includes/schema.sql,tests/e2e/00-install-smoke.spec.js; tests/e2e/02-admin-security.spec.js; tests/security-debt-contract-test.php,retested_pass,retested_pass,Installer smoke was implicit in E2E setup but not tracked as a standalone feature proof.,Added explicit self-hosted installer E2E verifying config.php schema seed settings admin account installed redirect and locked force reinstall.,Retested by self-hosted Playwright installer smoke on clean Docker runtime plus security boundary contract.,P0,Not part of SaaS customer workspace.,2026-06-22
UPGRADE-001,self-hosted,Self-hosted,Updater and public release channel,Admin,"As a self-hosted admin I want safe update checks, backup and rollback.","Updater checks public package, verifies access/CSRF, creates backup, applies update and supports rollback smoke.",upgrade.php; update APIs; settings system tab,upgrade.php; includes/update-functions.php; includes/api/update-api.php,tests/e2e/03-update-report.spec.js; tests/settings-update-contract-test.php,retested_pass,retested_pass,Upgrade smoke exposed a MariaDB runtime fatal from parameterized SHOW COLUMNS in upgrade.php; the same unsafe fallback existed in ticket API column detection.,"Fixed upgrade.php to use column_exists() for api_tokens column checks, fixed ticket API fallback SQL, and added runtime E2E for applying a ZIP update package with backup evidence and rollback cleanup.",Retested by self-hosted Playwright update/report suite settings update contracts security boundary full PHP lint and grep scan for SHOW COLUMNS placeholders.,P0,SaaS production uses managed deploy instead.,2026-06-22
SECURITY-001,shared + saas overlay,Security,Permissions and tenant boundary,User/Admin/Operator,As any user I must only see and mutate data I am allowed to access.,Permission checks enforce role/org/tenant boundaries; SaaS tenant-owned writes require tenant scope; platform-only queries stay explicit.,all protected pages/API,includes/ticket-access-functions.php; includes/security-helpers.php; includes/tenant-functions.php; includes/database.php,tests/security-boundary-contract-test.php; tests/tenant-mutation-boundary-contract-test.php; tests/e2e/04-permissions.spec.js,retested_pass,retested_pass,,,"Retested by security boundary contract, tenant mutation boundary contract, admin/security Playwright suite, and permissions Playwright suite.",P0,Completion requires both contract tests and adversarial E2E after major refactors.,2026-06-22
VISUAL-001,shared,Visual system,App shell and visual consistency,User,As a user I want all core screens to feel like one compact modern product.,"Shared app shell, tokens, headings, cards, buttons, search and admin surfaces use consistent spacing and avoid duplicate nav or broken layouts.",header/sidebar/admin pages/ticket detail/reports,includes/header.php; pages/admin/settings.php; theme.css; includes/components/*; docs/visual-style-baseline.json,tests/visual-qa-contract-test.php; tests/app-shell-visual-contract-test.php; tests/csp-ui-baseline.test.js; tests/smoke/visual-qa.js,retested_pass,retested_pass,"Observed visual failures: duplicate admin navigation, search icon/text overlap, inconsistent right ticket panel and uneven app-shell density.","Fixed: browser DOM QA confirmed settings has one local settings tab set, no duplicate admin nav, safe header search padding, and no desktop overflow; mobile Email settings button row now stacks/wraps so it no longer causes horizontal overflow.","Retested: browser DOM visual QA, npm run visual:qa desktop/mobile screenshots, visual QA contract, app-shell visual contract, admin UI contract, PHP lint, and local smoke passed.",P0,Latest visual evidence: /var/folders/4b/n0hg_kb51k1dp861px2fmpb00000gn/T/foxdesk-visual-qa-r8ljNn,2026-06-21
